DATE,POILWTIUSDQ
2001,28.77666667
2001.25,27.84666667
2001.5,26.49333333
2001.75,20.36
2002,21.59666667
2002.25,26.26333333
2002.5,28.32
2002.75,28.28333333
2003,34.02781056
2003.25,29.08
2003.5,30.25044639
2003.75,31.17481159
2004,35.19229842
2004.25,38.35205628
2004.5,43.82575758
2004.75,48.34670776
2005,49.6397764
2005.25,53.0861039
2005.5,63.08536891
2005.75,60.00778499
2006,63.20950659
2006.25,70.4718307
2006.5,70.49184955
2006.75,59.97018759
2007,58.21221476
2007.25,64.98405107
2007.5,75.33632938
2007.75,90.85583537
2008,97.91229814
2008.25,124.0670779
2008.5,118.3321943
2008.75,58.13815942
2009,42.89162121
2009.25,59.5853824
2009.5,68.22418314
2009.75,76.10859747
2010,78.64520842
2010.25,77.86350649
2010.5,76.0069697
2010.75,85.10494008
2011,93.93069565
2011.25,102.5161039
2011.5,89.71064402
2011.75,94.02827561
2012,102.8539827
2012.25,93.38358868
2012.5,92.20229644
2012.75,88.13278844
2013,94.35523464
2013.25,94.17576219
2013.5,105.8017969
2013.75,97.40502949
2014,98.75795169
2014.25,103.141241
2014.5,97.57220215
2014.75,73.06702174
2015,48.70159091
2015.25,57.75685426
2015.5,46.50214537
2015.75,42.03001631
2016,33.27574879
2016.25,45.5191342
2016.5,44.93610264
2016.75,49.17401876
2017,51.84860935
2017.25,48.29843083
2017.5,48.13724638
2017.75,55.41246032
2018,62.85610672
2018.25,67.91198068
2018.5,69.7218531
2018.75,58.65142324
2019,54.83240028
2019.25,59.76212912
2019.5,56.40164314
2019.75,56.98244463
